[(366, 537), (335, 190), (53, 342), (162, 205), (183, 33), (191, 625), (435, 385), (25, 530), (293, 407)]
[(293, 661), (133, 659), (274, 459), (47, 481), (130, 54), (456, 175), (184, 274), (352, 314), (263, 61)]
[(128, 292), (87, 622), (240, 610), (151, 477), (131, 31), (256, 196), (399, 481), (288, 345), (451, 186)]
[(366, 537), (335, 190), (53, 342), (162, 205), (183, 33), (191, 625), (21, 170), (25, 530), (293, 407)]
[(366, 537), (335, 190), (53, 342), (162, 205), (183, 33), (191, 625), (129, 454), (25, 530), (293, 407)]
[(366, 537), (335, 190), (53, 342), (162, 205), (183, 33), (191, 625), (129, 454), (451, 369), (293, 407)]
[(407, 150), (108, 301), (34, 484), (93, 604), (356, 622), (64, 178), (278, 369), (126, 99), (279, 48)]
[(106, 368), (253, 137), (262, 623), (268, 458), (220, 29), (399, 211), (78, 63), (72, 592), (262, 304)]
[(106, 368), (253, 137), (262, 623), (268, 458), (354, 371), (399, 211), (78, 63), (72, 592), (262, 304)]
[(106, 368), (253, 137), (262, 623), (268, 458), (383, 441), (399, 211), (78, 63), (72, 592), (262, 304)]
